[2019-12-17T23:57:41.601] [DEBUG] default - URL: /api/file/upload Method: POST Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
[2019-12-17T23:58:13.837] [DEBUG] default - URL: /api/file/upload Method: POST Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
[2019-12-17T23:59:17.397] [DEBUG] default - URL: /api/file/upload Method: POST Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
[2019-12-17T23:59:37.232] [DEBUG] default - URL: /api/file/upload Method: POST Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
[2019-12-18T00:00:34.952] [DEBUG] default - URL: /api/user/ Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
[2019-12-18T00:00:49.244] [DEBUG] default - URL: /api/user/ Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
[2019-12-18T00:00:59.138] [DEBUG] default - URL: /api/file/upload Method: POST Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
[2019-12-18T00:02:05.533] [DEBUG] default - URL: /api/user/ Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
[2019-12-18T00:02:16.189] [DEBUG] default - URL: /api/file/upload Method: POST Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
[2019-12-18T00:03:51.259] [DEBUG] default - URL: /api/user/ Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
[2019-12-18T00:03:57.786] [DEBUG] default - URL: /api/file/upload Method: POST Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTc2NTQ3NTEwLCJleHAiOjE1NzcxNTIzMTB9.mWil3IhcT3S7mrGLWlFPa8G0A8f5W2V9-Fi5JDJRig8 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36
