[2019-09-10T17:00:32.595] [ERROR] default - QueryError: ER_DUP_ENTRY: Duplicate entry 'Android' for key 'label'
[2019-09-10T17:00:32.633] [ERROR] default - QueryError: ER_DUP_ENTRY: Duplicate entry 'Java' for key 'label'
[2019-09-10T17:00:32.646] [ERROR] default - QueryError: ER_DUP_ENTRY: Duplicate entry 'JavaScript' for key 'label'
[2019-09-10T17:00:32.671] [ERROR] default - QueryError: ER_DUP_ENTRY: Duplicate entry 'Python' for key 'label'
[2019-09-10T17:00:32.687] [ERROR] default - QueryError: ER_DUP_ENTRY: Duplicate entry 'Security' for key 'label'
[2019-09-10T17:00:32.934] [ERROR] default - QueryError: ER_PARSE_ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1
[2019-09-10T17:02:36.545] [DEBUG] default - URL: /api/pub/articles/list Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTY3OTMzMzcwLCJleHAiOjE1Njg1MzgxNzB9.YiPhEB94TCB2kUimV8FC33EddfXUFihn-zZ89IB3Q54 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-10T17:02:42.820] [DEBUG] default - URL: /api/comment/list Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTY3OTMzMzcwLCJleHAiOjE1Njg1MzgxNzB9.YiPhEB94TCB2kUimV8FC33EddfXUFihn-zZ89IB3Q54 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-10T17:03:43.328] [DEBUG] default - URL: /api/pub/articles/list Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTY3OTMzMzcwLCJleHAiOjE1Njg1MzgxNzB9.YiPhEB94TCB2kUimV8FC33EddfXUFihn-zZ89IB3Q54 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-10T17:03:46.583] [DEBUG] default - URL: /api/pub/articles/list Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTY3OTMzMzcwLCJleHAiOjE1Njg1MzgxNzB9.YiPhEB94TCB2kUimV8FC33EddfXUFihn-zZ89IB3Q54 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-10T17:03:49.373] [DEBUG] default - URL: /api/pub/articles/list Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTY3OTMzMzcwLCJleHAiOjE1Njg1MzgxNzB9.YiPhEB94TCB2kUimV8FC33EddfXUFihn-zZ89IB3Q54 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-10T17:04:00.956] [DEBUG] default - URL: /api/pub/articles/list Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTY3OTMzMzcwLCJleHAiOjE1Njg1MzgxNzB9.YiPhEB94TCB2kUimV8FC33EddfXUFihn-zZ89IB3Q54 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-10T17:04:01.013] [DEBUG] default - URL: /api/comment/list Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTY3OTMzMzcwLCJleHAiOjE1Njg1MzgxNzB9.YiPhEB94TCB2kUimV8FC33EddfXUFihn-zZ89IB3Q54 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-10T17:05:04.128] [DEBUG] default - URL: /api/pub/articles/list Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTY3OTMzMzcwLCJleHAiOjE1Njg1MzgxNzB9.YiPhEB94TCB2kUimV8FC33EddfXUFihn-zZ89IB3Q54 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-10T17:05:07.016] [DEBUG] default - URL: /api/comment/list Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTY3OTMzMzcwLCJleHAiOjE1Njg1MzgxNzB9.YiPhEB94TCB2kUimV8FC33EddfXUFihn-zZ89IB3Q54 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-10T17:06:48.231] [DEBUG] default - URL: /api/pub/articles/list Method: GET Status: 200 Body: {} Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiaWF0IjoxNTY3OTMzMzcwLCJleHAiOjE1Njg1MzgxNzB9.YiPhEB94TCB2kUimV8FC33EddfXUFihn-zZ89IB3Q54 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
